NAME;;SORTING ID;;ID DEC;ID HEX;;;;;;;
Peculiar Doll;;00FD30;;384;000180;;;;;;;384 000180
Large Ember;;00FAC0;;800;000320;;;;;;;800 000320
Very Large Ember;;00FAE0;;801;000321;;;;;;;801 000321
Crystal Ember;;00FB00;;802;000322;;;;;;;802 000322
Large Magic Ember;;00FB60;;806;000326;;;;;;;806 000326
Enchanted Ember;;00FB80;;807;000327;;;;;;;807 000327
Divine Ember;;00FBA0;;808;000328;;;;;;;808 000328
Large Divine Ember;;00FBC0;;809;000329;;;;;;;809 000329
Dark Ember;;00FBE0;;810;00032A;;;;;;;810 00032A
Large Flame Ember;;00FB20;;812;00032C;;;;;;;812 00032C
Chaos Flame Ember;;00FB40;;813;00032D;;;;;;;813 00032D
Basement Key;;00FE40;;2001;0007D1;;;;;;;2001 0007D1
Crest of Artorias;;00FD60;;2002;0007D2;;;;;;;2002 0007D2
Cage Key;;00FF20;;2003;0007D3;;;;;;;2003 0007D3
Archive Tower Cell Key;;00FF40;;2004;0007D4;;;;;;;2004 0007D4
Archive Tower Giant Door Key;;00FFA0;;2005;0007D5;;;;;;;2005 0007D5
Archive Tower Giant Cell Key;;00FF80;;2006;0007D6;;;;;;;2006 0007D6
Blighttown Key;;00FEC0;;2007;0007D7;;;;;;;2007 0007D7
Key to New Londo Ruins;;00FEE0;;2008;0007D8;;;;;;;2008 0007D8
Annex Key;;00FFC0;;2009;0007D9;;;;;;;2009 0007D9
Dungeon Cell Key;;00FD80;;2010;0007DA;;;;;;;2010 0007DA
Big Pilgrim's Key;;00FDE0;;2011;0007DB;;;;;;;2011 0007DB
Undead Asylum F2 East Key;;00FDA0;;2012;0007DC;;;;;;;2012 0007DC
Key to the Seal;;00FF00;;2013;0007DD;;;;;;;2013 0007DD
Key to Depths;;00FE60;;2014;0007DE;;;;;;;2014 0007DE
Lift Chamber Key*;;000000;;2015;0007DF;;;;;;;2015 0007DF
Undead Asylum F2 West Key;;00FDC0;;2016;0007E0;;;;;;;2016 0007E0
Mystery Key;;00FE20;;2017;0007E1;;;;;;;2017 0007E1
Sewer Chamber Key;;00FEA0;;2018;0007E2;;;;;;;2018 0007E2
Watchtower Basement Key;;00FE80;;2019;0007E3;;;;;;;2019 0007E3
Archive Prison Extra Key;;00FF60;;2020;0007E4;;;;;;;2020 0007E4
Residence Key;;00FE00;;2021;0007E5;;;;;;;2021 0007E5
Master Key;;00FD40;;2100;000834;;;;;;;2100 000834
Lord Soul (Gravelord Nito);;00FA40;;2500;0009C4;;;;;;;2500 0009C4
Lord Soul (Bed of Chaos);;00FA60;;2501;0009C5;;;;;;;2501 0009C5
Bequeathed Lord Soul Shard (Four Kings);;00FA80;;2502;0009C6;;;;;;;2502 0009C6
Bequeathed Lord Soul Shard (Seath the Scaleless);;00FAA0;;2503;0009C7;;;;;;;2503 0009C7
Lordvessel;;00FA20;;2510;0009CE;;;;;;;2510 0009CE
Weapon Smithbox;;00FCC0;;2600;000A28;;;;;;;2600 000A28
Armor Smithbox;;00FCE0;;2601;000A29;;;;;;;2601 000A29
Repairbox;;00FCA0;;2602;000A2A;;;;;;;2602 000A2A
Rite of Kindling;;00FD20;;2607;000A2F;;;;;;;2607 000A2F
Bottomless Box;;00FD00;;2608;000A30;;;;;;;2608 000A30
