NAME;;SORTING ID;;ID DEC;ID HEX;;;;;;;
Soul Arrow;;00BB90;;3000;000BB8;;;;;;;3000 000BB8
Great Soul Arrow;;00BBA0;;3010;000BC2;;;;;;;3010 000BC2
Heavy Soul Arrow;;00BBB0;;3020;000BCC;;;;;;;3020 000BCC
Great Heavy Soul Arrow;;00BBC0;;3030;000BD6;;;;;;;3030 000BD6
Homing Soulmass;;00BBD0;;3040;000BE0;;;;;;;3040 000BE0
Homing Crystal Soulmass;;00BBE0;;3050;000BEA;;;;;;;3050 000BEA
Soul Spear;;00BBF0;;3060;000BF4;;;;;;;3060 000BF4
Crystal Soul Spear;;00BC00;;3070;000BFE;;;;;;;3070 000BFE
Magic Weapon;;00BC20;;3100;000C1C;;;;;;;3100 000C1C
Great Magic Weapon;;00BC30;;3110;000C26;;;;;;;3110 000C26
Crystal Magic Weapon;;00BC40;;3120;000C30;;;;;;;3120 000C30
Magic Shield;;00BC50;;3300;000CE4;;;;;;;3300 000CE4
Strong Magic Shield;;00BC60;;3310;000CEE;;;;;;;3310 000CEE
Hidden Weapon;;00BCA0;;3400;000D48;;;;;;;3400 000D48
Hidden Body;;00BCB0;;3410;000D52;;;;;;;3410 000D52
Cast Light;;00BCD0;;3500;000DAC;;;;;;;3500 000DAC
Hush;;00BC80;;3510;000DB6;;;;;;;3510 000DB6
Aural Decoy;;00BC70;;3520;000DC0;;;;;;;3520 000DC0
Repair;;00BCC0;;3530;000DCA;;;;;;;3530 000DCA
Fall Control;;00BC90;;3540;000DD4;;;;;;;3540 000DD4
Chameleon;;00BCE0;;3550;000DDE;;;;;;;3550 000DDE
Resist Curse;;00BD00;;3600;000E10;;;;;;;3600 000E10
Remedy;;00BCF0;;3610;000E1A;;;;;;;3610 000E1A
White Dragon Breath;;00BC10;;3700;000E74;;;;;;;3700 000E74
Fireball;;00BD10;;4000;000FA0;;;;;;;4000 000FA0
Fire Orb;;00BD20;;4010;000FAA;;;;;;;4010 000FAA
Great Fireball;;00BD30;;4020;000FB4;;;;;;;4020 000FB4
Firestorm;;00BD50;;4030;000FBE;;;;;;;4030 000FBE
Fire Tempest;;00BD60;;4040;000FC8;;;;;;;4040 000FC8
Fire Surge;;00BDA0;;4050;000FD2;;;;;;;4050 000FD2
Fire Whip;;00BDB0;;4060;000FDC;;;;;;;4060 000FDC
Combustion;;00BD80;;4100;001004;;;;;;;4100 001004
Great Combustion;;00BD90;;4110;00100E;;;;;;;4110 00100E
Poison Mist;;00BDD0;;4200;001068;;;;;;;4200 001068
Toxic Mist;;00BDE0;;4210;001072;;;;;;;4210 001072
Acid Surge;;00BDF0;;4220;00107C;;;;;;;4220 00107C
Iron Flesh;;00BE10;;4300;0010CC;;;;;;;4300 0010CC
Flash Sweat;;00BE00;;4310;0010D6;;;;;;;4310 0010D6
Undead Rapport;;00BE30;;4360;001108;;;;;;;4360 001108
Power Within;;00BE20;;4400;001130;;;;;;;4400 001130
Great Chaos Fireball;;00BD40;;4500;001194;;;;;;;4500 001194
Chaos Storm;;00BD70;;4510;00119E;;;;;;;4510 00119E
Chaos Fire Whip;;00BDC0;;4520;0011A8;;;;;;;4520 0011A8
Heal;;00BE40;;5000;001388;;;;;;;5000 001388
Great Heal;;00BE60;;5010;001392;;;;;;;5010 001392
Great Heal Excerpt;;00BE50;;5020;00139C;;;;;;;5020 00139C
Soothing Sunlight;;00BE70;;5030;0013A6;;;;;;;5030 0013A6
Replenishment;;00BE80;;5040;0013B0;;;;;;;5040 0013B0
Bountiful Sunlight;;00BE90;;5050;0013BA;;;;;;;5050 0013BA
Gravelord Sword Dance;;00BFA0;;5100;0013EC;;;;;;;5100 0013EC
Gravelord Greatsword Dance;;00BFB0;;5110;0013F6;;;;;;;5110 0013F6
Escape Death*;;000000;;5200;001450;;;;;;;5200 001450
Homeward;;00BEF0;;5210;00145A;;;;;;;5210 00145A
Force;;00BEA0;;5300;0014B4;;;;;;;5300 0014B4
Wrath of the Gods;;00BEB0;;5310;0014BE;;;;;;;5310 0014BE
Emit Force;;00BEC0;;5320;0014C8;;;;;;;5320 0014C8
Seek Guidance;;00BF10;;5400;001518;;;;;;;5400 001518
Lightning Spear;;00BF50;;5500;00157C;;;;;;;5500 00157C
Great Lightning Spear;;00BF60;;5510;001586;;;;;;;5510 001586
Sunlight Spear;;00BF70;;5520;001590;;;;;;;5520 001590
Magic Barrier;;00BED0;;5600;0015E0;;;;;;;5600 0015E0
Great Magic Barrier;;00BEE0;;5610;0015EA;;;;;;;5610 0015EA
Karmic Justice;;00BF20;;5700;001644;;;;;;;5700 001644
Tranquil Walk of Peace;;00BF40;;5800;0016A8;;;;;;;5800 0016A8
Vow of Silence;;00BF30;;5810;0016B2;;;;;;;5810 0016B2
Sunlight Blade;;00BF80;;5900;00170C;;;;;;;5900 00170C
Darkmoon Blade;;00BF90;;5910;001716;;;;;;;5910 001716
