NAME;;SORTING ID;;ID DEC;ID HEX;;;;;;;
Havel's Ring;;000030;;100;000064;;;;;;;100 000064
Red Tearstone Ring;;0000C0;;101;000065;;;;;;;101 000065
Darkmoon Blade Covenant Ring;;000170;;102;000066;;;;;;;102 000066
Cat Covenant Ring;;000250;;103;000067;;;;;;;103 000067
Cloranthy Ring;;000020;;104;000068;;;;;;;104 000068
Flame Stoneplate Ring;;000060;;105;000069;;;;;;;105 000069
Thunder Stoneplate Ring;;000070;;106;00006A;;;;;;;106 00006A
Spell Stoneplate Ring;;000050;;107;00006B;;;;;;;107 00006B
Speckled Stoneplate Ring;;000080;;108;00006C;;;;;;;108 00006C
Bloodbite Ring;;000090;;109;00006D;;;;;;;109 00006D
Poisonbite Ring;;0000A0;;110;00006E;;;;;;;110 00006E
Tiny Being's Ring;;000010;;111;00006F;;;;;;;111 00006F
Cursebite Ring;;0000B0;;113;000071;;;;;;;113 000071
White Seance Ring;;000140;;114;000072;;;;;;;114 000072
Bellowing Dragoncrest Ring;;000100;;115;000073;;;;;;;115 000073
Dusk Crown Ring;;000130;;116;000074;;;;;;;116 000074
Hornet Ring;;0001C0;;117;000075;;;;;;;117 000075
Hawk Ring;;0001B0;;119;000077;;;;;;;119 000077
Ring of Steel Protection;;000040;;120;000078;;;;;;;120 000078
Covetous Gold Serpent Ring;;000200;;121;000079;;;;;;;121 000079
Covetous Silver Serpent Ring;;000210;;122;00007A;;;;;;;122 00007A
Slumbering Dragoncrest Ring;;000120;;123;00007B;;;;;;;123 00007B
Ring of Fog;;000260;;124;00007C;;;;;;;124 00007C
Rusted Iron Ring;;0001F0;;125;00007D;;;;;;;125 00007D
Ring of Sacrifice;;0000E0;;126;00007E;;;;;;;126 00007E
Rare Ring of Sacrifice;;0000F0;;127;00007F;;;;;;;127 00007F
Dark Wood Grain Ring;;0001E0;;128;000080;;;;;;;128 000080
Ring of the Sun Princess;;000180;;130;000082;;;;;;;130 000082
Old Witch's Ring;;000240;;137;000089;;;;;;;137 000089
Covenant of Artorias;;000220;;138;00008A;;;;;;;138 00008A
Orange Charred Ring;;000230;;139;00008B;;;;;;;139 00008B
Lingering Dragoncrest Ring;;000110;;141;00008D;;;;;;;141 00008D
Ring of the Evil Eye;;000280;;142;00008E;;;;;;;142 00008E
Ring of Favor and Protection;;000270;;143;00008F;;;;;;;143 00008F
Leo Ring;;000190;;144;000090;;;;;;;144 000090
East Wood Grain Ring;;0001D0;;145;000091;;;;;;;145 000091
Wolf Ring;;0001A0;;146;000092;;;;;;;146 000092
Blue Tearstone Ring;;0000D0;;147;000093;;;;;;;147 000093
Ring of the Sun's Firstborn;;000160;;148;000094;;;;;;;148 000094
Darkmoon Seance Ring;;000150;;149;000095;;;;;;;149 000095
