NAME;DURABILITY;SORTING ID;;ID DEC;ID HEX;;Upgrades;;;;;
East-West Shield;160;382D40;;1400000;155CC0;;Full;;;160 382D40;;1400000 155CC0
Wooden Shield;160;386BC0;;1401000;1560A8;;Full;;;160 386BC0;;1401000 1560A8
Large Leather Shield;200;38AA40;;1402000;156490;;Full;;;200 38AA40;;1402000 156490
Small Leather Shield;200;3483C0;;1403000;156878;;Full;;;200 3483C0;;1403000 156878
Target Shield;150;353F40;;1404000;156C60;;Full;;;150 353F40;;1404000 156C60
Buckler;140;3500C0;;1405000;157048;;Full;;;140 3500C0;;1405000 157048
Cracked Round Shield;60;341340;;1406000;157430;;Full;;;60 341340;;1406000 157430
Leather Shield;200;34C240;;1408000;157C00;;Full;;;200 34C240;;1408000 157C00
Plank Shield;120;344540;;1409000;157FE8;;Full;;;120 344540;;1409000 157FE8
Caduceus Round Shield;180;3389C0;;1410000;1583D0;;Full;;;180 3389C0;;1410000 1583D0
Crystal Ring Shield (East-West Shield);120;382D40;;1411000;1587B8;;Scales;;;120 382D40;;1411000 1587B8
Crystal Ring Shield (Wooden Shield);120;386BC0;;1411100;15881C;;Scales;;;120 386BC0;;1411100 15881C
Crystal Ring Shield (Large Leather Shield);120;38AA40;;1411300;1588E4;;Scales;;;120 38AA40;;1411300 1588E4
Crystal Ring Shield (Small Leather Shield);120;3483C0;;1411400;158948;;Scales;;;120 3483C0;;1411400 158948
Crystal Ring Shield (Target Shield);120;353F40;;1411600;158A10;;Scales;;;120 353F40;;1411600 158A10
Crystal Ring Shield (Buckler);120;3500C0;;1411700;158A74;;Scales;;;120 3500C0;;1411700 158A74
Crystal Ring Shield (Cracked Round Shield);120;341340;;1411800;158AD8;;Scales;;;120 341340;;1411800 158AD8
Crystal Ring Shield (Leather Shield);120;34C240;;1411500;1589AC;;Scales;;;120 34C240;;1411500 1589AC
Crystal Ring Shield (Plank Shield);120;344540;;1411200;158880;;Scales;;;120 344540;;1411200 158880
Crystal Ring Shield (Caduceus Round Shield);120;3389C0;;1411900;158B3C;;Scales;;;120 3389C0;;1411900 158B3C
Crystal Ring Shield (Heater Shield);120;38E8C0;;1412000;158BA0;;Scales;;;120 38E8C0;;1412000 158BA0
Crystal Ring Shield (Knight Shield);120;39E2C0;;1412100;158C04;;Scales;;;120 39E2C0;;1412100 158C04
Crystal Ring Shield (Tower Kite Shield);120;392740;;1412200;158C68;;Scales;;;120 392740;;1412200 158C68
Crystal Ring Shield (Grass Crest Shield);120;3A9E40;;1412300;158CCC;;Scales;;;120 3A9E40;;1412300 158CCC
Crystal Ring Shield (Hollow Soldier Shield);120;39A440;;1412400;158D30;;Scales;;;120 39A440;;1412400 158D30
Crystal Ring Shield (Balder Shield);120;3A2DC0;;1412500;158D94;;Scales;;;120 3A2DC0;;1412500 158D94
Crystal Ring Shield (Warrior's Round Shield);120;334B40;;1412600;158DF8;;Scales;;;120 334B40;;1412600 158DF8
Crystal Ring Shield (Iron Round Shield);120;3AE940;;1412700;158E5C;;Scales;;;120 3AE940;;1412700 158E5C
Crystal Ring Shield (Spider Shield);120;3A5FC0;;1412800;158EC0;;Scales;;;120 3A5FC0;;1412800 158EC0
Crystal Ring Shield (Spiked Shield);120;3B9840;;1412900;158F24;;Scales;;;120 3B9840;;1412900 158F24
Crystal Ring Shield (Sunlight Shield);120;3B1B40;;1413100;158FEC;;Scales;;;120 3B1B40;;1413100 158FEC
Crystal Ring Shield (Pierce Shield);120;3B59C0;;1413000;158F88;;Scales;;;120 3B59C0;;1413000 158F88
Crystal Ring Shield (Red and White Round Shield);120;33EDC0;;1413200;159050;;Scales;;;120 33EDC0;;1413200 159050
Crystal Ring Shield (Caduceus Kite Shield);120;3965C0;;1413300;1590B4;;Scales;;;120 3965C0;;1413300 1590B4
Crystal Ring Shield (Gargoyle's Shield);120;3BD6C0;;1413400;159118;;Scales;;;120 3BD6C0;;1413400 159118
Crystal Ring Shield (Eagle Shield);120;3F8040;;1413500;15917C;;Scales;;;120 3F8040;;1413500 15917C
Crystal Ring Shield (Tower Shield);120;3FBEC0;;1413600;1591E0;;Scales;;;120 3FBEC0;;1413600 1591E0
Crystal Ring Shield (Giant Shield);120;4009C0;;1413700;159244;;Scales;;;120 4009C0;;1413700 159244
Crystal Ring Shield (Bonewheel Shield);120;403BC0;;1413800;1592A8;;Scales;;;120 403BC0;;1413800 1592A8
Crystal Ring Shield (Effigy Shield);120;33C840;;1413900;15930C;;Scales;;;120 33C840;;1413900 15930C
Crystal Ring Shield (Sanctus);120;3A0840;;1414000;159370;;Scales;;;120 3A0840;;1414000 159370
Crystal Ring Shield (Bloodshield);120;3AC3C0;;1414100;1593D4;;Scales;;;120 3AC3C0;;1414100 1593D4
Crystal Ring Shield (Black Iron Greatshield);120;3FE440;;1414200;159438;;Scales;;;120 3FE440;;1414200 159438
Heater Shield;250;38E8C0;;1450000;162010;;Full;;;250 38E8C0;;1450000 162010
Knight Shield;200;39E2C0;;1451000;1623F8;;Full;;;200 39E2C0;;1451000 1623F8
Tower Kite Shield;250;392740;;1452000;1627E0;;Full;;;250 392740;;1452000 1627E0
Grass Crest Shield;200;3A9E40;;1453000;162BC8;;Full;;;200 3A9E40;;1453000 162BC8
Hollow Soldier Shield;250;39A440;;1454000;162FB0;;Full;;;250 39A440;;1454000 162FB0
Balder Shield;220;3A2DC0;;1455000;163398;;Full;;;220 3A2DC0;;1455000 163398
Crest Shield;300;3C53C0;;1456000;163780;;Twinkling;;;300 3C53C0;;1456000 163780
Dragon Crest Shield;300;3C5A00;;1457000;163B68;;Twinkling;;;300 3C5A00;;1457000 163B68
Warrior's Round Shield;180;334B40;;1460000;164720;;Full;;;180 334B40;;1460000 164720
Iron Round Shield;280;3AE940;;1461000;164B08;;Full;;;280 3AE940;;1461000 164B08
Spider Shield;230;3A5FC0;;1462000;164EF0;;Full;;;230 3A5FC0;;1462000 164EF0
