NAME;;SORTING ID;;ID DEC;ID HEX;;;;;;;
Titanite Shard;;003E90;;1000;0003E8;;;;;;;1000 0003E8
Large Titanite Shard;;003EA0;;1010;0003F2;;;;;;;1010 0003F2
Green Titanite Shard;;003ED0;;1020;0003FC;;;;;;;1020 0003FC
Titanite Chunk;;003EB0;;1030;000406;;;;;;;1030 000406
Blue Titanite Chunk;;003EE0;;1040;000410;;;;;;;1040 000410
White Titanite Chunk;;003F20;;1050;00041A;;;;;;;1050 00041A
Red Titanite Chunk;;003F00;;1060;000424;;;;;;;1060 000424
Titanite Slab;;003EC0;;1070;00042E;;;;;;;1070 00042E
Blue Titanite Slab;;003EF0;;1080;000438;;;;;;;1080 000438
White Titanite Slab;;003F30;;1090;000442;;;;;;;1090 000442
Red Titanite Slab;;003F10;;1100;00044C;;;;;;;1100 00044C
Dragon Scale;;003F60;;1110;000456;;;;;;;1110 000456
Demon Titanite;;003F50;;1120;000460;;;;;;;1120 000460
Twinkling Titanite;;003F40;;1130;00046A;;;;;;;1130 00046A
